beta,ft_step_size,accept_rate,n_configs,seed
14.0,0.10,8.437500e-01,32,1029
14.0,0.12,9.062500e-01,32,1029
14.0,0.14,5.625000e-01,32,1029
14.0,0.15,3.125000e-01,32,1029
