beta,ft_step_size,accept_rate,n_configs,seed
12.0,0.12,7.500000e-01,32,1029
12.0,0.14,6.250000e-01,32,1029
12.0,0.16,0.000000e+00,32,1029
12.0,0.17,2.187500e-01,32,1029
